Id;Description;Metier_Reel;Metier_Predit;Pred_Correct
455; he does not believe there is a rapture of christians prior to the return of messiah so he believes the second coming is the time when the dead will be raised which some call the posttribulational view;0;6;0
469; he did his theology and higher education both in england and in belgium rev alex is a bible expositor and teaches regularly in his own establishment maranatha bible colleges where he takes the role of director he has imparted his vision to a few other bible colleges in india and overseas and travels there as visiting faculty maranatha bible training institute and college has got a close association with tung ling theological seminary malaysia;0;19;0
951; his church is growing he is doing well he knows what he believes and strictly carries it out never minding feelings that may get hurt in the meantime even to his family every night he prays his runaway daughter hannah will return home and then tragedy hits him when jason loses everything he held dear and near to him and even what he thought he rightfully should have is withheld from him he goes on a search for something he thinks is tangible but in reality he is searching for his soul he searches deep within himself for what is really important to god what truths he can believe about god and the how behind the whys his search takes him all over the world and through dangerous places getting him into trouble he had no intention of getting into will he find what he seeks or does he have to lose himself to find himself;0;3;0
1862; he is the editor of seven books including moviebased illustrations for preaching  teaching which sparked his ongoing love affair with film and his weekly wnd column popcorn and a worldview the attorney in a publicized challenge to barack obamas eligibility to be president told wnd the florida case took an unexpected turn in court yesterday one he says pulled the rug out from obamas lawyers and should force a quick answer from the judge;0;26;0
2586; he is a family and youth counselor his ministries include writing and editing articles on a wide range of topics he is married to elizabeth sarmiento and they are blessed with two bright children their daughter studies at harris memorial college taking up bs christian education their son is a senior in high school;0;3;0
2883; he is a reserve delegate to the 2012 western jurisdiction conference and will be attending general conference as an additional reserve delegate and observer previously scott has served the oregonidaho annual conference as director of connectional ministries and assistant to the bishop;0;19;0
3092; tattooed and often profane nadia has said that she is surprisingly unconcerned with what people believebecause belief is going to be influenced by all sorts of things that she has nothing to do with rather nadia says that she is responsible for what people hearand there is a transformative and healing power to this kind of sermon;0;22;0
3673; when he is not working joe can be found flyfishing or relaxing with his wife erica in the little mountain town of manitou springs colorado where they live happily ever after joe received his undergraduate degree in biology and education a masters in divinity from fuller seminary and a doctorate in divinity from the kings college;0;0;1
4669; he received his mdiv degree from the debrecen reformed theological academy in hungary the mth from the reformed theological university in the netherlands and is now in the doctoral program at the university of utrecht his field of research is the development of the theology of mission in the reformed church in hungary in an ecumenical context with emphases on the impact of john r mott hendrik kraemer johannes c hoekendijk and willem a vissert hooft in hungary the john r mott papers are held at the divinity library;0;19;0
5388; jim pastors faith family church a vibrant congregation of 4000 in victoria texasnamed one of americas outstanding protestant churches in a national study done by the university of north carolina jims passion for small communities in america has led him to launch the significant church network designed to establish significant church communities throughout the smallest counties in the nation to that end the network hosts seven regional conferences and one national conference each year jim and his wife tamara have four children ages eight to eighteen  from the hardcover edition see less;0;0;1
5836; his primary work is with youth he has written for linc questions senior highs ask and other united methodist curriculum resources he is recognized beyond the dallas area as an outstanding leader trainer and writer in youth ministry;0;3;0
6049; johns presbyterian church in san francisco a 170member urban congregation she is active in all levels of the presbyterian church usa including youth conferences women leadership conferences peacemaking conferences general assembly committees and recently served as moderator for the presbytery of san francisco she has had a variety of life experiences that include teaching children with special needs and working in a multiracial urban congregation in chicago and seoul korea all this contributes to her passion for child advocacy creating intergenerational worship experiences and urban ministry she has published articles and contributed to christian century sojourners gods politics other blog sites and books;0;0;1
6128; he lives in charleston west virginia with his wife in october 2014 they moved on up to the east side yes to a deluxe apartment in the sky from an early age george pg to those who know him has been a storyteller he never considered writing until people throughout his life kept telling him the stories he made up should be written down still he resisted the idea then in 2010 during a conversation with a fellow pastor he was asked to send the pastor notes on prayer walking as pastor george put those notes together he realized what he had was the making of a good book that as they say was that and pastor george took those notes and turned them into prayer walking for spiritual break through his first book since then george has written several books both christian teaching and christian fiction;0;0;1
6316; yet he recounts that however severe their repression and mistreatment became pastors and other christians determined to obey every law just or unjust with the exception of laws that would force them to cease worship or to disobey gods word following peters admonition they willingly suffered for doing what is right but not for doing what is wrong 1 pet 317 they would not suffer as a murderer or thief or evildoer or a troublesome meddler but would gladly suffer as a christian 41516;0;26;0
7351; tim speaks both nationally and internationally strengthening believers with the good news of jesus christ tim began preaching at the age of 20 years old and has already impacted the lives of hundreds of thousands of people his dynamic teaching style and uncanny ability to make people understand the gospel message is the reason why he has been such an asset to ministries across cultural and denominational lines tim is happily married to juliette his bride since may 1st 1999 and they have two sons nathan and noah;0;22;0
7535; unfortunately he did so without securing the legallymandated permit from the capitol square review and advisory board thus on one occasion he was arrested and charged with trespass in ohio state court he argued that the permit requirement was unconstitutional under the first amendment but lost so the state court fined him 100;0;26;0
8521; reading sewing and crafting are a few of the things that lindsey enjoys doing when she is not cuddling with her hubby or playing with her children lindsey is cataloging her journey to become the proverbs 31 woman on her blog road to 31 her passion is helping women to understand their godgiven role as a woman lindsey created road to 31 to teach women how that role relates to singleness marriage motherhood and beyond grab a cup of coffee and join lindsey while she blogs about the bible natural living marriage homemaking homeschooling and more;0;3;0
8550; he most recently was blessed and privileged to serve as pastor of cross lutheran church in milwaukee where he is now the director of the bread of healing empowerment ministry he senses that his role is to equip people to be powerful and the only way to do that is by helping them to tap into the power available in jesus christ as he grows stronger in his own faith and relationship with jesus he is eager to share it with others through teaching preaching and outreach;0;0;1
9439; he is married and has two preschool sons in addition to pastoring and writing gulley enjoys spending sunday afternoons in his hometown heartlight magazine is produced by heartlight inc copyright  19962013;0;6;0
9914; he served as the seventh president of moody bible institute for eighteen years and is an internationally recognized conference speaker he is also heard weekdays on the awardwinning radio bible teaching program proclaim joe and his wife martie are the parents of three adult children and ten grandchildren they make their home in suburban chicago;0;3;0
327; since her entry into bollywood bips as she is known has taken on roles that required much daring and baring which was not common for a mainstream heroine films such as raaz and jism brought her fame as a sultry siren and her acting talent was acknowledged in corporate bipasha has previously dated fellow models milind soman and dino morea she was dating john abraham for almost 10 years but the couple broke up in 2011 she has recently been linked to josh hartnett her costar in her hollywood debut singularity;1;1;1
881; brittneyis a diehard new orleans saintsapos fan and a 2013 maxim hometown hotties finalist she is actively pursuing commercial and print modeling in and around louisiana;1;1;1
944; unfortunately later that year odiele was injured in a severe car accident which left her unable to walk in the upcoming fallwinter shows a ye read more ;1;12;0
